id,lyrics,label,augmentation
T1_TRAIN_0018,"¡Eso es!
Becky G
Ay, ay, eh

Quiere que me anime a bailar Tangana
Pero yo bailo quietecito mamá Me dan ganas
Pongo cara de que no pasa nada Con el booty-booty
Mientras empujas ese booty para atrás

Paratra', para atrás', para atrás' Trá
Papi, te dejo que te acerque' un poco más
Para atrás', para atrás', para atrás' Yeh
Este culo lo heredé de mi mamá Wuah
Booty, booty, booty, booty, booty, booty, booty
You say you like my booty and I know you wanna do me
Dutty wine hasta abajo, disfrútala, amor
Think you need a snack, candy Becky G Trá'
Te pongo a babear si bailo para ti
Yo soy mala mujer Ja si vengo para Madrid
Agárrate fuerte si juegas aquí
Papito, tú sabes
Si empiezo, no quieres que acabe
Para arriba, para abajo Sí

Aún no vi su cara, no sé cómo se llama Yeh
Ese booty habla sin decir nada Nah, brrr
Tráelo sin pijama ¿Qué fue?
Quiere conocer todosos los rincones de mi cama De mi cama; ¡Ja!
Cuando quieras te hago visita guiada De madrugada
Aquí tienes tu butaca reservada Woh
Pon-pon ese culo tuyo encima de mi cara
Quiero dar Quiero dar las gracias a tu mamá ¡Mwah!, gracias
Por esa forma de andar Wow
Aguacate para cenar, los demás me dan igual
Que aquí nadie ha visto nada, no te tie's que preocupar ¡Eh!
Pon esa chapa a vibrar

Uh, na, na, na Trá, trá, trá
Mientras empujas ese booty para atrás
Uh, na, na, na Trá, trá, trá; ¡Chi chi chi chi chi chi!; ¡hit it!
Uh, na, na, na Trá, trá, trá; Con mi boom bom bom ba
Pongo cara de que no pasa nada ¡Wuh, eso es!

Fuck you, págame
Fuck you, paga-",NM,original
T1_TRAIN_0019,"¿Como fui a enamorarme de ti?
Habiendo tantas por ahí
¿Qué pasó?
¿Cómo me sucedió?
Que no te puedo arrancar de mí
Teniendo que vivir

Este amor secreto
Que quema a fuego lento
Procesión que va por dentro
Enamorado de una amiga
El que te ama sin medida",NM,original
T1_TRAIN_0020,"Oye
Hay una cosa que te quiero decir
Mira

Quiero darte un beso en HD
Tenerte en 3D
Verte a full color
Llamarte y todo eso me hace bien
Pero ya te quiero ver
En vivo es mejor

Para hacerte toda' esas cositas que a ti te gustan
Llegar hasta el cielo
Y hacerlo en la luna

Mejor dime dónde estás y paso a buscarte Eh-eh
Que voy a darte, que voy a darte
Algo inolvidable

Me vuelvo, me vuelvo loco
Sin ti yo, sin ti yo
Yeh

Me gustas más que el Netflix
Viviendo nuestra movie
Encajamos como Tetris
Cuando bailas mi music
Si tú pasas del tema
Y te me pones exclusive
Me voy con Greeicy y con Anitta pa’l jacuzzi

Contigo yo soy trending topic
Mamita, tú te ves tan epic
Tan rica como un buen Gin Tonic
Mostrándome tu lado sexy

Desde Cádiz para el mundo
¿Que quiénes somos? Sin ti yo, yo, yo
CNCO
Me vuelvo loco Sin ti yo, yo, yo
Abraham Mateo-eo
CNCO Sin ti yo, yo, yo
Eh, eh
Oh baby Sin ti yo, yo, yo
Me vuelvo, me vuelvo loco
Hmmm, tú me vuelves loco",NM,original
T1_TRAIN_0021,"Algo me dice que ya no volverás
Estoy seguro que esta vez no habrá marcha atrás
Después de todo fui yo a decirte que no
Sabes bien que no es cierto
Estoy muriendo por dentro

Y ahora es que me doy cuenta que sin ti no soy nada
He perdido las fuerzas, he perdido las ganas
He intentado encontrarte en otras personas
No es igual, no es lo mismo
Nos separa un abismo

Vuelve que sin ti la vida se me va
Oh, vuelve que me falta el aire si tu no estas
Oh, vuelve, nadie ocupara tu lugar

Y a pesar que fui yo a decirte que no
Sin embargo aqui sigo insistiendote",NM,original
T1_TRAIN_0022,"Levantarás el pulgar
Te mostraré mi guarida
No te entregaras
Como piloto de prueba
Hoy no serás el rehén
De esos rumores de guerra
Cuidaremos la flor
En este planeta de arena

Es un día común
Dame un día común
Emociones simples

Solo tenemos una doble vida
Sonríe por mi doble vida

Donde esta ese pase especial
Para salir del subsuelo?
Si después del temblor
Hay solo mascaras chinas
Y tu reencarnación
Tropezando en la avenida

Hazlo por mi
Ah ah ah ah ah ah
Ah-ha",NM,original
T1_TRAIN_0023,"raga LiveGet tickets as low as $44
Cuando ella me dijo que no me queria corri como un loco de pena y dolor
Pense en mi tristeza quitarme la vida y entre a una cantina pa darme valor
Sentado en la mesa tomando tequila entro una gitana y al verme llorar
Me dijo no llores no es grave tu pena yo se que la ingrata te vendra a buscar

Le puse mi mano leyo mi furturo me dijo ella vuelve no vive sin ti
Deja esa tristeza y vete seguro lo he visto en tu mano seras muy feliz
Le di una moneda salio la gitana tome una guitarra y me puse a cantar
Tome mas tequila y grite de alegria me puse a esperarla queriendo la amar",NM,original
T1_TRAIN_0024,"Si no le contesto

Si no le contesto, se desespera
Piensa que con otra estoy
Haciendo lo que le hacía a ella, eah, eah, eah
Como tu mente maquinea, cuando en la mía estoy
Mujer, no quiero más pelea, no más pelea

Tú te sentías bien segura, bien segura de mi amor
¿Se te olvidó que nadie manda en su corazón? Corazón
Ahora me pide amor, y no tengo No tengo
En el tiempo que me pediste se murió
Nada de chocolates, ni cartas, ni flores
¿Copiaste? I am sorry, yo no los maté
Mucho tiempo gasté, no lo utilizaste
Solo me querías como un cuate
Dime lo que tú te crees
Si tengo otra gata, eso no es de tu interés
No te coja tanto estrés
Solo hablemos de sex, que ahora tú eres mi ex

Y yo te dije que tú iba' a volver para atrá'
Que nadie como yo te iba a tratar
Yo estaba seguro que tú estaba' equivoca'
Pero tú decidiste por la vida volar
Y vuela, vuela, vuela, vuela
Si quieres probar, dale, prueba
Si no vale la pena, mejor que se muera
Que yo sigo tranquilo gozando de la buena
A mí tú no me vengas a montar esa escena
A mí tú no me vengas con cuentitos de novelas
Tú sabes que por ti yo hacía lo que fuera
Que lo que tú tenías lo que quería otras girlas

Pina Como tu mente maquinea
Ya les hemos demostrado bastante, demasiado
Cuando en la mía estoy
Nosotros somos el nuevo dream team Jaja
Mujer, no quiero más pelea, no más pelea
Yo se los había dicho
House Of Pleasure
En la pista el Haze Haze
El Productor de todos esos productores jajaja
Productorcitos",M,original
T1_TRAIN_0025,"Sabes
Te cité porque hoy vamos a cortar
Sé muy bien que desencaja con tu plan
Que existe él
¿Para cuándo me lo pensabas contar?
Significabas todo, todo para mí
Te lo juro que esperaba más de ti
Pero ni hablar
Yo ya no tengo nada más que hacer aquí

¿Así o más claro?
Ya me di cuenta que a mí, tú no me quieres
Y yo que me esforcé un millón de veces
Por hacerte feliz, por darte lo mejor
Pero resulta que no sabes, ni lo que quieres

¿Así o más claro?
De que sirvió ser tan honesto y transparente
Si la traición hoy me la pones en la frente
Seré buen perdedor, no hablaré mal de ti
Por el respeto
De lo que llegué a quererte
Procederé a olvidar
Porque lo nuestro remedio, ya no tiene",NM,original
T1_TRAIN_0026,", baby
Hear This Music

Uh, uh, uh
¡Wuh!

Salí jodí'o la última vez que en alguien yo confié Oh, yeh
Me compré una forty y a Cupido se la vacié -cié, -cié
No me vuelvo a enamorar, no No

Sigue tu camino que sin ti me va mejor
Ahora tengo a otras que me lo hacen mejor
Si ante' yo era un hijo 'e puta, ahora soy peor Yeh
Ahora soy peor, ahora soy peor por ti

Hoy yo no quiero fumar regular No, no
Tráiganme un Kush que me haga sentir espectacular Shh
Para celebrar que ya no estás tú para especular Wuh
Ni joderme por todos los culo' que tengo en el celular Ah, ah
Hoy se bebe, hoy se sale
Ser bueno y fiel ya de nada vale Skrt
Por mujeres como tú es que dicen
Que todo' los hombres somo' iguale' Yeh, yeh
Si no me conoce' no me señale' No
Ya yo me conozco tus male' Huh
Como Hector el Father
Hoy yo salgo para la calle con todos mis anormale', yeh

Ahora hago todos lo que quiero Quiero
Solo pienso en mí primero, yeh Wuh
Tirando billete' adentro 'el putero Ah
Para el carajo el amor verdadero, yo solo pienso en hacer dinero
Baby, lo nuestro ya descansa en paz
Me importa un carajo con quién te vas
Dile a tu mai' que ya no me hace falta Nah
Que ahora tengo suegras de más Wuh
Tengo a la blanquita que me hace el lap dance
La rockerita que se lo meto a con todos y Vans Wuh
La prieta, la rubia, modelos
Y eso es sin contar toda la' fans Wuh
Yo no estoy para amores de mese'
No estoy para pelea' ni estupidece'
Búscate a otro para que te bese
Ninguno 'e eso' cabrone' a mí se parece Wuh
Cada cuál tiene lo que merece Wuh
A mami dile que por mí no rece
Que hoy yo salgo esta noche vira'o para la calle
Y nadie va hacer que yo me enderece, yeh

Alex Killer
Mambo Kingz
DJ Luian
Bad Bunny, baby
Hear This Music",M,original
T1_TRAIN_0027,"Cada flor que tú me entregas solo huele a disculpa
En tu conciencia es donde llevas la culpa
No me pidas más perdón
Ya no sé si la recuerdas cada vez que me besas
Si en la cama todavía la deseas, si la buscas en mi piel

Estoy cansada, ya no quiero perdonarte
No me insistas más
Ya no me quedan lágrimas para llorarte
Y ahora que te vas

Llévate todo lo que nos herimos
Tu amor nunca estuvo a la altura del mío
Hasta te regalo tu deuda conmigo
No vuelvas aquí
Llévate todos los años perdidos
Lo que me juraste y nunca has cumplido
No te debo nada, te irás tan vacío
Te quedas sin mí",NM,original
T1_TRAIN_0028,"Aire, viento
Y en mi alma
El fuego se ahoga
Y solo queda el frio

Sin destino
Y a passo muy lento
Llevo débil
El peso de un tormento

Si tù no estas aqui
No hai manera de existir
Tengo que despertar
Tengo que revivir
Es un inmenso vacìo
Ya no hay amor aquì
Tal vez me debo rendir
Y sufrir en...

Silencio. Silencio, silencio, silencio

Antes el Sol era mi bendiciòn
Ahora sus rayos me queman sin razòn
Antes creia sin dudar en mi instinto
Ahora es tan fràgil como un animal
Herido

Si tù no estas aquì",NM,original
T1_TRAIN_0029,"Suéltame gorila, no
Que voy, que voy, voy a bailar!

Ay mi madre como duele tanto
Cuando una mujer que uno quiso tanto
Le deja a uno la vida hecha un joropo
Pero olvídate que ya paso, pero olvídate que ya paso
Que ya paso y me importa poco

Eso a mi me importa un pito ombe
Por que tu eres un fundillo loco
Y me pica el ombliguito",M,original
T1_TRAIN_0030,"r sabido amar a esa mujer
Hoy quiero soñar con lo inolvidable
Con esa luna que fue de los dos
Con su belleza incomparable
Con sus ojos y sus lágrimas de amor

Hoy quiero soñar cuando fui su dueño
El héroe de una fábula de ayer
Y hoy siento que me agobia aquel tormento
De haber roto el amor de esa mujer

Soy barco a la deriva sin su amor
Perdido en este infierno de dolor
En qué estaría pensando aquella noche
En que otros labios me entregaron su calor

De qué me sirve hoy este llanto
Por el amor que un día se fue
Yo sólo sé vivir por ella
Cómo arrancarla de mi ser",NM,original
T1_TRAIN_0031,"Dímelo Vato
Y chico, chico, chico, chico de la calle

Y me gustan su andar y su caminar
Su manera de expresarme las cosa'
Porque contigo era mirar, y saber apreciar que pocos se la gozan
Que cuando pasan los azules
Me besa de disimulo
Y le gusta a sigilo
Porque yo no voy de chulo

Grande ella tiene el culo
Pero yo no doy lo' dato'
Ridículo sería hablarle
Porque no le gustan los chivatos
Es madura en cuerpo una muchacha
Cuando pasa le tiran ocho
A los ocho directo lo' tacha
A las ocho no' vemo' de noche

Y a escondi'as que su madre
No le gusta que yo le vea
Yo muy malo y ella muy adorable
Ella paz y yo una pelea

Está soltera pero dice que tiene pareja
Para que ningún hombre le coja y la moleste
Dice que de ninguno ella se deja
Le gusta que todos se le arrastren
Y conmigo no se queja
Si yo caigo entre reja'
Ella me vería aunque no le gusta
Y me conociste y yo parado
Y a la tarde nos hacían foto'
Porque estaba investiga'o
Pero pasábamo' el rato
Y a ti te gusta, y yo te gusto
Si fuese malo no sería lo justo
Si tú fuese' mala yo me disgusto
Si te fuese' yo me asusto

Y si tu madre ya quisiese
Que nos fuésemos a vece'
Yo me iría un par de meses
Dime al meno' qué te parece",M,original
T1_TRAIN_0032,"Odio cuando pierdo lo que no me pertenece
Y más odio si te vas sabiendo que me hieres
Ahora acostumbrarme a esta soledad es mi única opción
Agoté mis fuerzas y energías, y de nada me valió

Me enamoré de tus falsas palabras
Me lastimaron tus acciones
El tiempo nadie lo detiene
Y yo nunca te di razones para ser así
Dos veces nadie se enamora, eso fue lo que prometiste
Tal vez ya me llegó la hora, tal vez fue que nunca me viste
Con los ojos del corazón, tal vez amarte fue mi error
Y me arrepiento tanto que fui bueno contigo y tú conmigo no

Oh-oh
No, oh, oh, no-oh-oh
Y tú conmigo no, oh-oh",NM,original
T1_TRAIN_0033,"Del sur de América Latina
Precisamente en Argentina
Nació esta felina mujer que domina el perímetro cúbico de la tarima
Explotando bocina', con voz de asesina
Niña campesina con ambiciones peligrosa' y un futuro que me destina
No hay término mejor que me defina
Como la única capaz de echarte solo a la ruina
Tu jefa, presidenta de la fucking Argentina, ey Yeah
Me odian porquе a las nena' las desperté Yеah
De la calle me adueñé, a tu gato se la paré Ye-Ye-Yeah
Por mi barrio lo paseé en mi coche y aceleré
Al toque lo descarté y a esos tonto' los re quebré Yeah
Como dijo Tego
Hoy en día soy cantante porque ustedes quieren Sí
Yo lo hago por el arte, nunca por el ego Ego
Yo soy buena pero si me pegan, pego
Cuidado si me hieren
No creía en la venganza pero a veces creo
Todo necesita un equilibrio y me veo
En conflicto de intereses y no me pidan que rece
Porque Dios es hombre y por un hombre no me quiebro
Vómito verbal, instinto animal, por las que no están
No hay supremacía que me pueda poner un bozal Tu nena trampa
No es lo que dijiste, la connotación
No es lo que me hiciste, sino la intención
Es por el dinero y por la diversión
Digo lo que quiero porque es mi elección
Aprendí a hacer barra' de la frustración
Uso mi experiencia en cada canción
No le tengo miedo a la equivocación
Porque mejor que callarse es pedir perdón

Tu-Tu-Tu nena trampa
Soy tu nena trampa Soy tu nena trampa, soy tu nena trampa
Oh-oh-oh, ah-ah-ah, oh-oh-oh
Soy tu nena— Soy tu nena—
Ah-ah",NM,original
T1_TRAIN_0034,"Mira lo que te traje desde colima desde colima

Una peineta de oro y una chalina y una chalina

Oye maria tu mama viene

Cuentale una mentira si te conviene si te conviene

Intro",NM,original
T1_TRAIN_0035,"Cuando vas a darte cuenta que vivimos otros anos
Hoy el mundo nos exige que seamos mas humanos
Y ahora todo se termina y me levantas la mano

Y te empenas en tratarme como lo hiciera tu padre
Con aliento a rumia cana desdichada hizo a tu madre
Y en su arrepentimiento ya era demasiado tarde

Te quiero pero no puedo soportarte
Me voy a morir pero sera en otra parte
No quiero que nuestros hijos vean tu ejemplo
Y lleguen a hacer el dano que me haces tu

Ojala que nuestra ausencia sea lo que necesitas
Y aguanten las paredes todas las cosas que gritas
Vamos a extranarte mucho pero el sueno no nos quitas",NM,original
